ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
281,M-91,,Cerro Prieto,México,"Fausto, et.al., 1979",315,15.3,5472,1422,0.09,332,10142,3,23.5
690,La-3,,Aluto-Langano,Etiopía,"Kühn, 2004",315,,675,157,0.1,1,310,282,830
66,KT-42,,Uenotai,Japón,"Can, 2002",315,,247,58.8,0.13,1.21,367,76,36
547,LA-3,,Aluto,Etiopía,"Hochstein, 1988",315,,650,150,0.25,4,,,
776,MF-2,Campi Flegrei,Mofete,Italia,"Caprarelli et al, 1997",315,,5090,1180,,480,10200,,
282,M-105,,Cerro Prieto,México,"Fausto, et.al., 1979",318,17.1,6267,1660,0.25,299,11932,2.5,14.3
596,88-52,Reykjavík,"Námafjall, 11",Islandia ,"Arnórsson, 1995",320,,76.2,6.36,0.001,0.06,18.8,30.7,
289,81-022,,Námafjall,Islandia,"Arnórsson y Gunnl., 1985",320,,89.2,16.98,0.021,0.39,28.9,22,
49,12,,Fushime,Japón,"Okada, et.al., 2000",320,,13400,4130,2.1,1500,27800,22.1,
638,I.I.D. No.2,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",320,,53000,16500,,27800,,,
640,State 2-14 (1988),Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",320,,53700,17100,,26300,,,
639,River Ranch No.1,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",320,,74700,21900,,39700,,,
120,A-9,,Los Azufres,México,"Ochoa y Meza, 1989",323.85,35,1950,570,0.041,7.3,4021,12,44.8
119,A-9,,Los Azufres,México,"Ochoa y Meza, 1989",323.85,33,2000,630,0.041,7.3,3918,14.6,56.1
277,M-51,,Cerro Prieto,México,"Fausto, et.al., 1979",324,11.2,4599,1278,0.09,224,8733,1.9,28.9
292,81-033,,Krafla,Islandia,"Arnórsson y Gunnl., 1985",325,,223.6,46.2,0.002,1.72,24,182.6,
563,BA-8,,Baca,EU,"Grigsby, et al.,  1989",326,,1910,350,,14.2,3302,37,75
275,M-45,,Cerro Prieto,México,"Fausto, et.al., 1979",327,13.8,5094,1449,0.2,243,9525,,25.1
104,TO,,Tongonan,Filipinas,"Giggenbach, 1988",330,,3580,1090,0.2,128,6780,16,12
544,209 A,,Bao  Valley,Filipinas,"Hochstein, 1988",330,,6274,1831,0.4,182,,,
105,SS,,Salton sea,EU,"Giggenbach, 1988",330,,38400,13400,10,22010,118400,4,140
50,16,,Fushime,Japón,"Okada, et.al., 2000",330,,18100,5200,13.3,2000,35600,36.5,
51,17,,Fushime,Japón,"Okada, et.al., 2000",330,,15100,4850,14,1490,31100,54.1,
641,State 2-14 (1986),Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",330,,54800,17700,,28500,,,
693,La-6,,Aluto-Langano,Etiopía,"Kühn, 2004",335,,934,150,0.2,6,454,204,1442
71,T-50,,Uenotai,Japón,"Takeno, 2000",335,,1048,21.3,0.35,2.24,307,54,1436
278,M-53,,Cerro Prieto,México,"Fausto, et.al., 1979",339,14.9,4639,1446,0.13,190,8508,,23.9
597,88-44,Reykjavík,"Krafla, 14",Islandia ,"Arnórsson, 1995",340,,111,20.2,0.04,0.14,48.8,11.8,
37,Well-7,,Krafla,Islandia,"Arnorsson, et.al., 1983 II",340,,193,36,0.067,1.9,52,143,
279,M-84,,Cerro Prieto,México,"Fausto, et.al., 1979",340,13.5,5010,1573,0.3,242,9994,1.5,16.4
234,I.I.D. No.1,,"Salton Sea, CA",EU,"Fournier, 1990; Kharaka y Mariner, 1989; Fournier y Potter, 1979",340,215,50400,17500,54,28000,155000,5,
642,Elmore No.1,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",340,,62800,20800,,31500,,,
440,Cerro Prieto 53,,Cerro prieto,México,"Nieva y Nieva, 1987",343,,5405,1956,0.07,333,,,
139,A4,,Djibouti field,República de Djibouti,"D'Amore, et.al., 1998",344,33,13000,500,1500,400,20000,2500,102
280,M-90,,Cerro Prieto,México,"Fausto, et.al., 1979",345,11.7,3905,1016,0.04,147,7179,5.1,37.9
466,Well 8,,Cerro prieto,México,"Ellis & Mahon, 1977",350,15.5,6429,1176,18.6,347,11735,15,303
302,SS-12,,"Salton sea, California",EU,"Michard, 1989",351,,60500,18800,,31100,164900,6,
140,A5,,Djibouti field,República de Djibouti,"D'Amore, et.al., 1998",359,,42000,6000,700,8532,52000,447,38
