ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
471,Well 6,,Broadlands,Nueva Zelanda,"Ellis & Mahon, 1977",143,1.2,435,39,,260,28,15,2284
718,"Seltjarnarnes, well4",,Seltjarnarnes,Islandia,"Kühn, 2004",144,,355.5,10,0.1,139,670.8,204.8,
609,88-04,,Kroggolfsstadir,Turquía,"Arnórsson, 1995 II",145,,208.7,10.6,0.032,2.42,333.2,60.3,
570,4 AH 21 W35,,Yangb,Tibet,"Grimaud, et al., 1985",145,,464418.2,51614.64,121.525,,,,
610,88-02,,Efri-Reykir,Turquía,"Arnórsson, 1995 II",147,,98.4,5.21,0.029,1.23,51.7,57,
244,Schmitt Well,,"Raft River, ID",EU,"Kharaka y Mariner, 1989",147,1.4,535,22,0.24,50,,,
712,BGRL(250m),,Beppu Kyushu,Japón,"Kühn, 2004",148,,380,23,7.1,1.4,282,166,390
499,Well 219,,Rotorua,Nueva Zelanda,"Ellis & Mahon, 1977: Kharaka y Mariner, 1989",150,2.5,375,35,0.06,1,355,12,
666,"Simav-Eynal, E-8",,Turkish,Turquía,"Tarcan, 2005",150,0.42,523,58,4.6,8.4,81,446,
572,4 AH 24 W36,,Yangb,Tibet,"Grimaud, et al., 1985",150,,565578.6,61781.16,145.83,,,,
87,"Houston ""FF"" #1",,"Halls Bayou, TX",EU,"Palandri & Reed, 2001; Kharaka y Mariner, 1989",150,15,20500,180,170,1800,34500,16,356
142,Seferihisar-Cum.SH-2,,West Anatolia Izmir area,Turquía,"Mutlu y Gülec, 1998",150,,6300,577,190,760,11159,528,256
426,Krisuvik 5,,,Islandia,"Nieva y Nieva, 1987",151,,210,13.8,0.22,10.6,,,
1,Well,,Reykjaból,Islandia,"Arnórsson y Svavar., 1982",152,,100.5,6.1,0.047,1.26,40.9,69.5,
34,Well-1,,Reykjaból,Islandia,"Arnorsson, et.al., 1983 II",152,,102.2,6.21,0.048,1.28,41.6,70.7,
678,LV8,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",152.4,,3260,387,,,,,
249,GTO3RM79,,"Brady #7, NV",EU,"Kharaka y Mariner, 1989",154,2,900,67,0.1,41,,,
250,GTO6RM79,,"Brady #8, NV",EU,"Kharaka y Mariner, 1989",154,1.5,850,36,0.32,45,,,
85,"Evans ""A"" #1",,,,"Palandri & Reed, 2001",154,,18250,190,170,1230,29300,7.7,506
390,Cen. Miss.33,,Mississippi ,EU,"Fournier y Potter, 1979",154,,29200,3830,2480,25700,,,
388,Cen. Miss.31,,Mississippi ,EU,"Fournier y Potter, 1979",154,,46500,6800,2970,30600,,,
389,Cen. Miss.32,,Mississippi ,EU,"Fournier y Potter, 1979",154,,52400,5980,3010,37400,,,
391,Cen. Miss.34,,Mississippi ,EU,"Fournier y Potter, 1979",154,,52000,6080,3410,37700,,,
307,Campani 2,,Larderello,Italia,"Michard, 1989",154,,241,140,,,,,
663,"Salihli-Caferbeyli, SC-1",,Turkish,Turquía,"Tarcan, 2005",155,0.12,680,70,6.1,42,115,34,
571,4 AH 23 W4,,Yangb,Tibet,"Grimaud, et al., 1985",155,,475913.7,66473.4,97.22,,,,
14,Well-1,,Óxnalaekur,Islandia,"Arnorsson, et.al., 1983 II",157,,159,10.1,0.03,8.37,152.2,58.2,
406,520,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",158,2.2,437,47,1.1,20,417,320,
394,Cen. Miss.42,,Mississippi ,EU,"Fournier y Potter, 1979",158,,29000,3030,1470,25000,,,
299,Well CHI-I,,,El Salvador,"Campos, 1988",159,,4670,420,0.15,900,9160,,74
258,Well #137,,Rotorua,Nueva Zelanda,"Kharaka y Mariner, 1989",160,1.4,565,31,0.22,1,632,30,
2,Well-1,,Klausturhólar,Islandia,"Arnorsson, et.al., 1983 II",160,,185.4,13.1,5.65,24.2,107.7,83.1,
665,"Simav-Eynal, E-6",,Turkish,Turquía,"Tarcan, 2005",160,0.42,532,62,5.8,6.4,80,456,
567,4 AH 18 W10,,Yangb,Tibet,"Grimaud, et al., 1985",160,,462119.1,64127.28,145.83,,,,
651,"Salavatli, AS-1",,Turkish,Turquía,"Tarcan, 2005",162,3,1100,100,3.6,20,228,153,
465,Citgöl drilled well (sample 8),,"Simav, Anatolia occidental",Turquía,"Gemici & Tarcan, 2002; Tarcan, 2005",162,0.0896,410,39.4,5.6,26,65,392.6,595.4
679,LV8,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",162.3,,3260,387,,,,,
664,"Simav-Eynal, EJ-1",,Turkish,Turquía,"Tarcan, 2005",163,0.42,506,55,4.9,11.6,80,471,
455,P-91-4,,Utah,EU,"Moore, et.al., 2000",163,5,1143,220,9,96,1691,393,201
569,4 AH 20 W9,,Yangb,Tibet,"Grimaud, et al., 1985",165,,452922.7,59435.04,121.525,,,,
709,4AH20,,"Tibet, Yangbajing",China,"Kühn, 2004",165,,452922.7,59435.04,243.05,3607.2,524689.6,,
787,NLFI-2 muestra no. 82-0091,Hveragerdi,Hveragerdi,Islandia,"Zhanxue, 1998",168,,160,12.25,0.003,1.86,135.67,42.34,
786,NLFI-1 82-0090,Hveragerdi,Hveragerdi,Islandia,"Zhanxue, 1998",169,,160,11.05,0.002,1.62,130.17,43.5,
251,Y-8,,Yellowstone Park ,EU,"Kharaka y Mariner, 1989",169,2.6,360,15,0.04,1.2,240,16,493
110,T-10,,Takigami,Japón,"Furuya, et.al., 2000",169,1.4,455,23,0.1,17.9,545,229,38
578,TT-10,Takigami,Kyushu,Japón,"Furuya, et al., 2000",169,1.4,455,23,0.1,17.9,545,229,38
540,ZK 302,,Yangbajain ,Tibet,"Hochstein, 1988",170,,440,41.5,0.13,8.3,,,
701,MBP-1,,Long Valley,EU,"Kühn, 2004",170,,370,34,0.6,2.6,260,130,359
254,East mesa 8-11,,"Imperial Valley, CA",EU,"Kharaka y Mariner, 1989",170,2,723,42,1.6,41,,,
760,TH-2,Tekkehamam,Tekkehamam,Turquía,"Simsek et al, 2005",171,,1240,120,1.2,2,112,727,1335
146,Tuzla T-1,,West Anatolia Canakkale area,Turquía,"Mutlu y Gülec, 1998",171,,16640,1280,71,2920,33600,150,84
554,THM1,,,,"Henley & Stew, 1983",172,,234,126,0.17,27,313,215,
652,"Salavatli, AS-2",,Turkish,Turquía,"Tarcan, 2005",172,6,1100,90,1.1,14,233,170,
411,724,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",173,2.6,491,39,0.26,17,617,118,13
27,Well-4,,Leirá,Islandia,"Arnorsson, et.al., 1983 II",173,,244.2,27.6,0.66,15.4,263.8,55.3,
689,Well IT-3,,Tuchang,Taiwan,"Fournier, 1981",173,,947,13.6,,,18,31,2484
77,Y3,,Yellowstone Park ,EU,"Can, 2002",174,3.5,270,11,0.02,1.26,278,19.1,177
720,WK-230,,Wairakei,Nueva Zelanda,"Kühn, 2004",175,,118,12.1,0.06,9.5,96,53,165
702,MBP-3,,Long Valley,EU,"Kühn, 2004",175,,360,33,0.6,2.5,250,120,358
788,H-1 muestra no. 78-0082,Hveragerdi,Hveragerdi,Islandia,"Zhanxue, 1998",178,,189,9.2,0.007,2.08,124,70.3,
456,42-7,,Utah,EU,"Moore, et.al., 2000",178,5,1241,254,5,51,1639,332,100
523,PR-5,,"Primavera, Jalisco",México,"Villa, et al., 1987",178,,685,54,,,,,910
405,219,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",180,2.4,265,30,0.18,7.8,269,102,391
490,Well 6,,El Tatio,Chile,"Ellis & Mahon, 1977",180,17.1,1900,111,1.3,99,3048,177,111
586,79-32,Reykjavík,"Hveragerdi, 4",Islandia ,"Arnórsson, 1995",181,,147,12.9,0.002,1.67,106,42.1,
35,G4 muestra no.79-32,,Hveragerdi,Islandia,"Arnorsson, et.al., 1983 II; Zhanxue. 1998",181,,153.3,13.4,0.002,1.73,109.5,43.7,
789,H-2 muestra no. 79-0003,Hveragerdi,Hveragerdi,Islandia,"Zhanxue, 1998",181,,167,12.7,,2.05,132,41.5,
285,G2 muestra no.79-136,,Hveragerdi,Islandia,"Arnórsson y Gunnl., 1985; Zhanxue. 1998; 
",182,,168,13.8,0.002,2.18,142.3,40,
764,H-8,Hverageroi,Hverageroi,Islandia,"Ping et al, 1996",182,,152,12.4,0.064,2.51,131.3,41.7,
253,East mesa 6-2,,"Imperial Valley, CA",EU,"Kharaka y Mariner, 1989",182,4,1400,125,0.3,13,,,
662,"Kavaklidere-Sazdere, KG-1",,Turkish,Turquía,"Tarcan, 2005",182,5.28,2027,79,3.1,12.8,165,1843,
427,Krisuvik 6,,,Islandia,"Nieva y Nieva, 1987",183,,680,40.4,0.5,90.8,,,
765,G-4,Hverageroi,Hverageroi,Islandia,"Ping et al, 1996",184,,167,12.5,0.001,2.26,130.4,40.9,
306,Rad 6,,Larderello,Italia,"Michard, 1989",184,,35,16.6,,,,,
305,Rad 15,,Larderello,Italia,"Michard, 1989",184,,616,173,,,,,
617,SHG1,Latera,Latera,Italia,"Gianelli, et al.,  1989",186,,2360,153,3.5,23.6,3315,157,
622,EQ3/6 (13),Latera,Latera,Italia,"Gianelli, et al.,  1989",187,,1896,391,2.6,27.6,1721,1289,
618,G2,Latera,Latera,Italia,"Gianelli, et al.,  1989",187,,2120,286,2.6,12,3000,250,
761,Tekkehamam,Tekkehamam,Tekkehamam,Turquía,"Simsek et al, 2005",190,,750,75,12,12,76,1350,446
252,East Mesa 6-1,,"Imperial Valley, CA",EU,"Kharaka y Mariner, 1989",190,45,9130,1180,15.2,1020,,,
429,Krisuvik 8,,,Islandia,"Nieva y Nieva, 1987",192,,227,21.5,0.13,11.5,,,
557,PN,,,,"Henley & Stew, 1983",192,,175,16,,1.5,113,39,
767,KW-2,Krafla,Krafla,Islandia,"Ping et al, 1996",193,,207,14.4,0.01,1.98,28.9,196,
771,KG-26,Krafla,Krafla,Islandia,"Ping et al, 1996",195,,203,24.2,0.054,3,24.1,249,
645,"Kizildere, KD-13",,Turkish,Turquía,"Tarcan, 2005",195,4.09,1214,132,0.18,0.42,100,337,
778,KD-13,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",195,4.09,1300,138,0.23,2,128,773,
752,KD-13,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",195,,1300,138,0.25,2,128,773,1525
403,Pauzhetka 4,,Kamchatka,Rusia,"Fournier y Potter, 1979",195,,986,105,3.5,52,1667,76,41
688,Well 1C-4,,Chingshu,Taiwan,"Fournier, 1981",195,6,896,29,,,15,26.2,2296
675,LV5,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",195.4,,4900,770,,,,,
644,"Kizildere, KD-6",,Turkish,Turquía,"Tarcan, 2005",196,3.96,1134,131,0.27,1.15,46,644,
751,KD-6,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",196,,1220,116,0.36,1.2,124,560,1586
777,KD-6,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",196,3.96,1220,116,0.36,1.2,124,560,
450,Waitopau 6,,,Nueva Zelanda,"Nieva y Nieva, 1987",199,,635,88,0.06,9,,,
256,Chevron 1-29,,"Carson Desert, NV",EU,"Kharaka y Mariner, 1989",199,2.3,1200,130,0.36,58,,,
620,EQ3/6 (11),Latera,Latera,Italia,"Gianelli, et al.,  1989",200,,2090,195,0.08,152,3230,106,
145,Kizildere KD-1,,West Anatolia Denizli area,Turquía,"Mutlu y Gülec, 1998",200,4.5,1280,135,0.2,2.5,117,770,1860
543,TG-4,,Bao  Valley,Filipinas,"Hochstein, 1988",200,,1948,170,0.5,92,,,
615,L4,Latera,Latera,Italia,"Gianelli, et al.,  1989",200,,1760,285,1.1,15.3,1840,585,
623,I.I.D. No.3,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",200,40,10600,1250,74,1130,19700,651,1880
612,well #4,,Sta. Lucia,,"Wohletz, 1986",200,,5900,293,100,11600,37000,1195,
534,29-Jun,,Cerro Prieto,México,"Maimoni, 1982",200,,40900,6900,125,17400,,,
624,Commercial No. 113,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",200,,4800,297,,117,,,
676,LV5,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",200,,4900,770,,,,,
144,Kizildere KD-6,,West Anatolia Denizli area,Turquía,"Mutlu y Gülec, 1998",201,,1264,145,0.1,3.1,98,705,2126
648,"Kizildere, KD-20",,Turkish,Turquía,"Tarcan, 2005",201,4.58,1330,140,0.15,1.6,140,676,
756,KD-20,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",201,,1375,140,0.15,1.6,140,710,1159
782,KD-20,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",201,4.58,1375,140,0.15,1.6,140,710,
650,"Kizildere, KD-22",,Turkish,Turquía,"Tarcan, 2005",202,,1282,144,0.15,0.47,100,504,
703,RDO-8,,Long Valley,EU,"Kühn, 2004",202,,369,43,0.2,7.4,280,159,376
758,KD-22,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",202,,1275,140,0.24,1.2,136,729,1586
784,KD-22,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",202,,1275,140,0.24,1.2,136,729,
757,KD-21,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",202,,1325,131,0.24,1.8,140,710,1220
783,KD-21,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",202,,1325,131,0.24,1.8,140,710,
649,"Kizildere, KD-21",,Turkish,Turquía,"Tarcan, 2005",202,,1550,140,0.24,1.8,140,772,
772,KG-26,Krafla,Krafla,Islandia,"Ping et al, 1996",203,,206,25.7,0.047,2.55,24.4,232.7,
545,N1,,Okoy Valley,Filipinas,"Hochstein, 1988",203,,2090,195,0.26,176,,,
147,Germencik OB-1,,West Anatolia Aydin area,Turquía,"Mutlu y Gülec, 1998",203,,1625,81,2.2,3.6,1714,45,1263
659,"Germencik, ÖB-7",,Turkish,Turquía,"Tarcan, 2005",203,,1100,132,6.1,19,855,51,
653,"Germencik, ÖB-1",,Turkish,Turquía,"Tarcan, 2005",203,,1355,45,16,50,1586,37,
585,52-21,,Utah,EU,"Christensen, et al., 1983",204,,1900,216,4,107,2882,85,615
242,Utah State  52-21 Muestra 8,,"Roosevelt, UT",EU,"Capuano & Cole, 1982",204,,1900,216,4,107,2880,85,615
107,TT-2,,Takigami,Japón,"Furuya, et.al., 2000",205,1.6,466,47.1,0.1,18.8,547,238,
575,TT-2,Takigami,Kyushu,Japón,"Furuya, et al., 2000",205,1.6,466,47.1,0.1,18.8,547,238,
754,KD15,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",205,,1340,138,0.15,1.2,140,730,1464
780,KD-15,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",205,3.62,1340,138,0.15,1.2,140,730,
646,"Kizildere, KD-15",,Turkish,Turquía,"Tarcan, 2005",205,3.62,1335,154,0.24,0.95,58,704,
226,CGEH (9),,"Coso, CA",EU,"Kharaka y Mariner, 1989",205,14,1480,132,0.57,51,,,
58,KD15,,Kizildere,Turquía,"Can, 2002",205,,935,93,1,5,89,621,2000
753,KD-14,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",207,,1410,152,0.2,1.2,144,737,2403
779,KD-14,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",207,4.45,1410,152,0.2,1.2,144,737,
373,Kizildere 15,,,Turquía,"Fournier y Potter, 1979",207,,1173,117,1.19,6,,,
692,La-5,,Aluto-Langano,Etiopía,"Kühn, 2004",208,,1060,148,0.5,6,720,168,1300
311,NG-8,,Ngawha field,Nueva Zelanda,"Sheppard, 1987",209,9.5,762,69,0.4,6.8,1054,28,394
614,L2,Latera,Latera,Italia,"Gianelli, et al.,  1989",209,,2240,320,1.2,17.3,2940,360,
41,Well-8,,Krafla,Islandia,"Arnorsson, et.al., 1983 III",210,,187.5,22.4,0.03,2.3,23.9,193,
722,Aghiasmata 6/2000,,Aghiasmata,Grecia,"Dotsika et al, 2006",210,4.55,2270,263,19,221,4083,46,396
723,Aghiasmata 7/2002,,Aghiasmata,Grecia,"Dotsika et al, 2006",210,5.5,2400,270,19.5,228,4150,70,370
522,PR-2,,"Primavera, Jalisco",México,"Villa, et al., 1987",210,,2440,130,,,,,2886
755,KD-16,Kizildere,Kizildere,Turquía,"Simsek et al, 2005",211,,1400,148,0.24,3.2,136,714,1525
781,KD-16,Kizildere,Kizildere,Turquía,"Gökgöz, 1998",211,4.43,1400,148,0.24,3.2,136,714,
647,"Kizildere, KD-16",,Turkish,Turquía,"Tarcan, 2005",211,4.43,1245,151,0.29,3.65,49,656,
485,Well 1,,El Tatio,Chile,"Ellis & Mahon, 1977",211,30.2,4480,420,1.1,270,7943,64,29
669.3,LV1,Las tres vírgenes,Las tres vírgenes,,,211.8,,4435,700,,,,,
106,TT-1,,Takigami,Japón,"Furuya, et.al., 2000",212,1.6,443,41,0.1,20,525,261,
574,TT-1,Takigami,Kyushu,Japón,"Furuya, et al., 2000",212,1.6,443,41,0.1,20,525,261,
489,Well 5,,El Tatio,Chile,"Ellis & Mahon, 1977",212,44,5000,684,1,280,8360,45,65
598,KD-2,,Kizildere-Denizli,Turquía,"Karul, 1988",212,,1400,148,,,122,,
669.2,LV1,Las tres vírgenes,Las tres vírgenes,,,212.1,,4435,700,,,,,
656,"Germencik, ÖB-4",,Turkish,Turquía,"Tarcan, 2005",213,,1420,135,1.7,12,1500,37,
669.1,LV1,Las tres vírgenes,Las tres vírgenes,,,213,,4435,700,,,,,
535,30-Jun,,Cerro Prieto,México,"Maimoni, 1982",214,,42100,7000,125,16900,,,
291,81-029,,Krafla,Islandia,"Arnórsson y Gunnl., 1985",215,,193,25.46,0.002,1.6,43.8,202.4,
587,81-29,Reykjavík,"Krafla, 8",Islandia ,"Arnórsson, 1995",215,,159,21,0.004,1.32,32,166,
773,KG-26,Krafla,Krafla,Islandia,"Ping et al, 1996",215,,230.9,27.6,0.004,2.26,26.5,209.2,
286,G6 muestra no. 83-013,,Hveragerdi,Islandia,"Arnórsson y Gunnl., 1985; Zhanxue. 1998; 
",215,,164.2,20.72,0.021,2.15,171.2,37.2,
109,TT-8,,Takigami,Japón,"Furuya, et.al., 2000",215,1.7,488,57.4,0.1,12.3,585,251,13
577,TT-8,Takigami,Kyushu,Japón,"Furuya, et al., 2000",215,1.7,488,57.4,0.1,12.3,585,251,13
538,10-Aug,,Cerro Prieto,México,"Maimoni, 1982",215,141,42000,8600,80,20000,,,
537,10-Aug,,Cerro Prieto,México,"Maimoni, 1982",215,135,42700,6500,99,18200,,,
766,G-6,Hverageroi,Hverageroi,Islandia,"Ping et al, 1996",216,,177,18.2,0.001,2.3,185.2,33.7,
108,TT-7,,Takigami,Japón,"Furuya, et.al., 2000",217,2.1,475,63.3,0.2,20.6,640,154,11
576,TT-7,Takigami,Kyushu,Japón,"Furuya, et al., 2000",217,2.1,475,63.3,0.2,20.6,640,154,11
670,LV3,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",217.5,,4400,740,,,,,
148,Germencik OB-2,,West Anatolia Aydin area,Turquía,"Mutlu y Gülec, 1998",218,,1801,210,0.5,,1848,51,1598
671,LV3,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",218.3,,4400,740,,,,,
677,LV5,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",219.3,,4900,770,,,,,
726,PV1-R09/94w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,220,,1465,211,0.008,1.24,1173,85,
451,Wairakei 4/1,,,Nueva Zelanda,"Nieva y Nieva, 1987",220,,1300,192,0.02,23,,,
552,TH2,,,,"Henley & Stew, 1983",220,,767,99,0.11,18,1255,68,
725,PV1-R148/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,220,,1481,218,0.154,1.48,1300,105,
313,NG-18,,Ngawha field,Nueva Zelanda,"Sheppard, 1987",220,9.7,818,69,0.16,5.4,1155,29,258
422,Hengill G-3,,,Islandia,"Nieva y Nieva, 1987",220,,186,18.3,0.24,1.6,,,
296,Well CH-1,,,El Salvador,"Campos, 1988",220,,2410,186,48,137,4237,51.8,122.2
660,"Germencik, ÖB-8",,Turkish,Turquía,"Tarcan, 2005",220,,1550,15,243,8,1528,45,
76,Well 2-1,,Rotokawa,Nueva Zelanda,"Can, 2002",220,7.8,1168,135,,38,2049,92,42
724,PV1-R98/92w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,220,,1190,238,,2.46,1952,91,
308,Latera 3D,,Northern Latium,Italia,"Michard, 1989",220,,3609,711,,,,,
658,"Germencik, ÖB-6",,Turkish,Turquía,"Tarcan, 2005",221,,1775,180,0.1,3.6,1882,64,
657,"Germencik, ÖB-5",,Turkish,Turquía,"Tarcan, 2005",221,,1387,128,6.8,8.4,1454,46,
683,Well 43,,Wairakei,Nueva Zelanda,"Ellis & Mahon, 1977",222,12.6,1320,150,,27,2106,22,
524,PR-5,,"Primavera, Jalisco",México,"Villa, et al., 1987",223,,582,70,,,,,632
564,BA-9,,Baca,EU,"Grigsby, et al.,  1989",223,,1920,310,,13.1,3340,48,139
310,NG-4,,Ngawha field,Nueva Zelanda,"Sheppard, 1987",224,11.7,891,77,0.09,2.5,1260,40,271
661,"Germencik, ÖB-9",,Turkish,Turquía,"Tarcan, 2005",224,,1750,105,1.2,4.8,1819,133,
588,81-17,Reykjavík,"Hveragerdi, 7",Islandia ,"Arnórsson, 1995",225,,162,19.5,0.007,1.54,170,32.2,
287,G7 muestra no. 81-017,,Hveragerdi,Islandia,"Arnórsson y Gunnl., 1985; Zhanxue. 1998; 
",225,,176.8,21.28,0.008,1.68,186.3,35.2,
497,Well 2,,Orakeikorako,Nueva Zelanda,"Ellis & Mahon, 1977",225,3.1,550,54,0.02,1,546,142,
500,Well 1,,Tauhara,Nueva Zelanda,"Ellis & Mahon, 1977",225,13.8,1275,223,0.07,14,2222,30,
312,NG-11,,Ngawha field,Nueva Zelanda,"Sheppard, 1987",225,10.4,876,78,0.13,2.5,1211,25,458
365,SV-1 ,,San Vicente field,El Salvador,"Aiuppa, 1997",225,,1666,215,0.4,98,2847,61,62.6
243,Utah State  9-1 Muestra 9,,"Roosevelt, UT",EU,"Capuano & Cole, 1982",225,,1780,440,1,69.1,2860,120,485
259,Well #1,,Ngauha,Nueva Zelanda,"Kharaka y Mariner, 1989",225,10.7,900,78,1.4,29,1658,20,
433,Reykjanes,,,Islandia,"Nieva y Nieva, 1987",225,,11920,1700,25,2038,,,
698,La-7,,Aluto-Langano,Etiopía,"Kühn, 2004",226,,854,47,0.6,2.6,302,31,1769
486,Well 2,,El Tatio,Chile,"Ellis & Mahon, 1977",226,42,5080,663,0.82,272,9134,49,53
813,PGM-12,Miravalles,Miravalles,Costa Rica,"Yock, 1998",227,5.97,2298,279,0.37,67,3885,52,34
672,LV3,Las tres vírgenes,Las tres vírgenes,México,"Verma et al, 2005",227.3,,4400,740,,,,,
415,Ahuachapan 8,,,El Salvador,"Nieva y Nieva, 1987",228,,4839,872,22.5,341,,,
807,PGM-10,Miravalles,Miravalles,Costa Rica,"Yock, 1998",228.7,5.52,2568,328,0.02,85,4331,35,7
814,PGM-12,Miravalles,Miravalles,Costa Rica,"Yock, 1998",229,5.9,2446,299,0.3,71,4110,66,29
488,Well 4,,El Tatio,Chile,"Ellis & Mahon, 1977",229,28,4537,193,3.7,228,7774,62,81
727,CL1-R143/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,230,,1473,218,0.007,0.54,1966,95,
232,Well #7,,Otake,Japón,"Kharaka y Mariner, 1989",230,4.5,846,105,0.025,9.9,,,
98,NG-9,,Ngawha,Nueva Zelanda,"Giggenbach, 1988",230,,893,79,0.11,3,1260,18,185
732,CL1-R146/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,230,,1544,217,0.142,0.43,2027,97,
297,Well SV1,,,El Salvador,"Campos, 1988",230,,1620,240,0.4,82,2827,59,63.2
655,"Germencik, ÖB-3",,Turkish,Turquía,"Tarcan, 2005",230,,1775,170,0.5,1.6,1818,74,
372,Ngawha 1,,,Nueva Zelanda,"Fournier y Potter, 1979",230,,900,78,1.4,29,,,
536,8-Aug,,Cerro Prieto,México,"Maimoni, 1982",230,128,41200,6600,95,17900,,,
686,Well 1 ,,Ngawha,Nueva Zelanda,"Fournier, 1981",230,9.1,708,60,,,1211,13,45
730,CL1-R145/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,230,,1606,225,,0.48,1941,93,
729,CL1-R144/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,230,,1634,275,,0.62,2027,96,
625,Commercial No. B1,Salton Sea,"Salton Sea, California",EU,"Fournier, 1990",230,,15000,2480,,2520,,,
823,PGM-21,Miravalles,Miravalles,Costa Rica,"Yock, 1998",231,6.03,2391,273,0.01,67,3981,51,32
654,"Germencik, ÖB-2",,Turkish,Turquía,"Tarcan, 2005",231,,1830,189,0.1,1.6,1359,71,
691,La-4,,Aluto-Langano,Etiopía,"Kühn, 2004",231,,758,230,0.5,5,479,473,375
821,PGM-20,Miravalles,Miravalles,Costa Rica,"Yock, 1998",232,5.95,2391,289,0.09,77,3992,46,26
820,PGM-20,Miravalles,Miravalles,Costa Rica,"Yock, 1998",232,6.02,2305,267,0.14,72,3861,62,27
599,OB-2,,Germencik-Aydin,Turquía,"Karul, 1988",232,8,1335,45,,,1586,,
149,Germencik OB-3,,West Anatolia Aydin area,Turquía,"Mutlu y Gülec, 1998",232,,1770,172,,1.6,1819,72,1342
53,Ah-1,,Ahuachapán,El Salvador,"Can, 2002",232,,4530,736,,308,8172,21,21
806,PGM-10,Miravalles,Miravalles,Costa Rica,"Yock, 1998",232.9,6.11,2386,297,0.03,77,4014,42,23
682,Well 41,,Wairakei,Nueva Zelanda,"Ellis & Mahon, 1977",233,12.4,1175,172,0.005,24,2113,23,
734,CL2-R172-173/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,233,,1390,201,0.022,0.47,1084,89,
824,PGM-21,Miravalles,Miravalles,Costa Rica,"Yock, 1998",233,6.16,2453,292,0.13,76,4129,72,42
696,La-4,,Aluto-Langano,Etiopía,"Kühn, 2004",233,,1015,138,0.4,3.8,671,131,1647
736,CL2-R176-177/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,233,,1395,216,,0.14,1232,114,
735,CL2-R174-175/93w,,"Sao Miguel, Azores",Portugal,Carvalho et al. 2006,233,,1412,199,,0.39,1238,116,
444,Well 3,,Orakeikorako ,Nueva Zelanda,"Nieva y Nieva, 1987",234,3.1,254,40.2,0.15,1,301,64,
798,PGM-03,Miravalles,Miravalles,Costa Rica,"Yock, 1998",235,5.67,2506,313,0.09,70,4115,40,23
817,PGM-17,Miravalles,Miravalles,Costa Rica,"Yock, 1998",235,6.29,2393,305,0.1,67,4025,60,40
815,PGM-12,Miravalles,Miravalles,Costa Rica,"Yock, 1998",235,6.07,2519,282,0.27,82,4238,58,22
697,La-6,,Aluto-Langano,Etiopía,"Kühn, 2004",235,,688,223,0.3,0.8,459,372,854
833,PGM-46,Miravalles,Miravalles,Costa Rica,"Yock, 1998",235,5.82,2324,297,0.69,63,3943,61,88
304,DO-3,,,Dominica (Antillas Menores),"Michard, 1989",235,,1607,200,,56,2670,60,
303,DO-2,,,Dominica (Antillas Menores),"Michard, 1989",235,,1625,203,,56,2670,60,
827,PGM-31,Miravalles,Miravalles,Costa Rica,"Yock, 1998",236,6.23,2355,282,0.06,72,3978,59,31
825,PGM-21,Miravalles,Miravalles,Costa Rica,"Yock, 1998",236,5.78,2503,288,0.11,75,4124,52,30
